big.foot	conspiracy	('sasquatch', 0.017425090008615047),('first', 0.017459126810368732),('10', 0.017498784267657014),('told', 0.017802344222858108),('more', 0.01781249101644758),('1', 0.018041776261420898),('says', 0.018087653631264394),('when', 0.019499779978763822),('known', 0.020137722100405514),('a', 0.02102720482622834),('s', 0.021461393395395132),('monster', 0.021534105159391196),('big foot', 0.02311185434637039),('said', 0.027496837562097122),('but', 0.030251522734771087),('in the', 0.03193038953665705),('big', 0.03362010920693885),('feet', 0.03372969014046551),('foot', 0.04635227590112009),('bigfoot', 0.08734226567607475)
big.foot	mainstream	('this', -0.03244333334818622),('is', -0.02986158315360535),('article', -0.024245392506463966),('that', -0.02412304128275409),('global', -0.023123270791652446),('trump', -0.022756063448616092),('no', -0.0227377030519514),('government', -0.02123043794987221),('inside', -0.021002418018792005),('all', -0.019676420212050936),('ground', -0.019306968279649183),('com', -0.01872104137484661),('you can', -0.018093733318984454),('google', -0.017948917347776337),('t', -0.017743572396995626),('was', -0.017433377477517765),('video', -0.01741014140230074),('pads', -0.017114038685259587),('never', -0.01669569243702449),('goat', -0.016467038918857046)
flat.earth	conspiracy	('s', 0.01777858999478227),('a', 0.017958135157878006),('week', 0.018037331952297057),('next', 0.018284315705257306),('small', 0.01876214447333527),('at', 0.018973845553570658),('gravity', 0.019114890732927558),('mission', 0.019531583980113756),('both', 0.02070287974676197),('climate', 0.021005780439494234),('new', 0.021519309927102),('on', 0.021752874903219217),('irving', 0.02391308434289249),('is flat', 0.02416794199914614),('said', 0.026030357179899766),('its', 0.02917040875251943),('flat earth', 0.03559779267119175),('first', 0.03688990307548212),('earth', 0.037272676549496744),('flat', 0.07870604734633582)
flat.earth	mainstream	('this', -0.04376013135424632),('com', -0.03073781929368381),('america', -0.026045381398549654),('years', -0.02578092693510368),('by', -0.025606968123065413),('also', -0.02347665949499223),('see', -0.02273491374562319),('being', -0.02189780447112374),('him', -0.021805093039017447),('even', -0.02156252827714824),('found', -0.02120603907424584),('video', -0.021053040877017443),('above', -0.020563734347102028),('here', -0.020137495251291805),('very', -0.01929915766362666),('war', -0.01872652977080805),('miles', -0.018698080766870878),('god', -0.018040726303502713),('military', -0.018028822184732354),('free', -0.01760118211762829)
climate	conspiracy	('day', 0.019785296704733106),('pandemic', 0.019859326315662004),('crisis', 0.019863327459012904),('climate', 0.020017861364964695),('gas', 0.020157891808499313),('that s', 0.020164216314626573),('action', 0.020362936365398876),('to a', 0.020510311297245436),('or', 0.0210407446788341),('such', 0.021762655772485744),('she', 0.021853243034637405),('co', 0.022153332543338504),('greenhouse', 0.022446911804746963),('such as', 0.026151821665487684),('none', 0.02751535347317453),('had', 0.028235478984347924),('emissions', 0.03031179833249041),('climate change', 0.03526436604177441),('may', 0.03892370715346413),('change', 0.046004071695835834)
climate	mainstream	('this', -0.04323893234470838),('article', -0.032344292190950044),('is', -0.03204925346349042),('co2', -0.03142852091946424),('us', -0.02816741833321253),('obama', -0.027981837253640257),('from', -0.026732872616361814),('geoengineering', -0.026010975880492577),('they', -0.02598189029301717),('this article', -0.02477325761055248),('out', -0.023218089672132024),('with', -0.0231545459658719),('posted', -0.023153313109158774),('that', -0.022701664880155844),('order', -0.022494926604777817),('that the', -0.022359642396035946),('com', -0.021702016212902596),('dr', -0.021637605128746885),('media', -0.02125349117253664),('by', -0.02113590857385317)
vaccine	conspiracy	('with the', 0.018386636759385823),('risk', 0.01886715611206701),('around', 0.01923903706531141),('because', 0.01933508065936867),('can', 0.02077808624629088),('salk', 0.02100084850484786),('at', 0.021309048026503356),('had', 0.021617315208913482),('covid 19', 0.022448352554618932),('also', 0.022713974492100966),('parents', 0.02399457025783702),('19', 0.024711923398849808),('science', 0.026142133333910897),('countries', 0.026896673017160484),('immunization', 0.02729779788764234),('a', 0.02825312301402946),('diseases', 0.029107223252247676),('said', 0.03217506665054866),('but', 0.03441214565624856),('disease', 0.03487453785406112)
vaccine	mainstream	('government', -0.040563903012354754),('this', -0.03490161479495273),('gates', -0.03409187578837922),('into', -0.030690053770553536),('bill', -0.03023903963599354),('that', -0.029287003817249146),('video', -0.02683728164882104),('order', -0.0264258981055227),('polio', -0.02598717026762869),('cdc', -0.024576321563754756),('us', -0.024343001408280142),('american', -0.024342919675154957),('2020', -0.02267252210929235),('com', -0.022553826575959453),('dr', -0.022386350600614835),('free', -0.021134005534813705),('you', -0.020790801620653193),('truth', -0.020436898228486895),('mandatory', -0.020131557768920196),('d', -0.020088189890703306)
pizzagate	conspiracy	('way', 0.017161736625475092),('india', 0.017587560836230906),('theory', 0.018024775668588205),('had', 0.0181885836120807),('city', 0.018229771116509155),('president', 0.01826734454017547),('an', 0.018444533890038448),('it', 0.01901468246760519),('users', 0.019444747902292225),('three', 0.02041588924501856),('united', 0.02070456162757689),('s', 0.02255904620874817),('twitter', 0.024214617006257193),('but', 0.025192496358637118),('online', 0.026957884948934786),('pizza', 0.03098627058616677),('after', 0.031224542249998318),('said', 0.03745839028055073),('a', 0.039050984335485046),('conspiracy', 0.04782152433376741)
pizzagate	mainstream	('this', -0.05395784954499761),('is', -0.03140117239664186),('by', -0.029435776936344065),('com', -0.027880194557884295),('pedophile', -0.02688571108867116),('alefantis', -0.02442364218916034),('time', -0.024230873299193267),('many', -0.02301452899358438),('media', -0.022663790560175374),('as', -0.02150308901556739),('sex', -0.020845844777270927),('would', -0.020014560418006234),('fbi', -0.019787402983517905),('defense', -0.019527886596779332),('from the', -0.018991174108763043),('cia', -0.018961899628298272),('you', -0.01816052500242723),('under', -0.018088273843177797),('out', -0.01789465164541258),('sexual', -0.017875363351200293)
fe_cc_va_pg	conspiracy	('first', 0.01924108906075235),('on', 0.01971769142255961),('in a', 0.019741289319682314),('science', 0.020042842976501708),('about', 0.020535922700196784),('after', 0.02149420765785591),('there', 0.021601575370247584),('theory', 0.021880263034842536),('emissions', 0.022579128223609874),('two', 0.02563168472233829),('had', 0.025856716472728674),('social', 0.026256421572818198),('change', 0.027716575210622603),('a', 0.02818695155908213),('conspiracy', 0.029981952746650463),('s', 0.030341278416297048),('at', 0.031298155145459444),('said', 0.0325212225762163),('earth', 0.0376851615488313),('flat', 0.05194392900623381)
fe_cc_va_pg	mainstream	('com', -0.03452570175885532),('this', -0.03227717771833904),('is', -0.029776512336609915),('bill', -0.028372322264817073),('order', -0.02767343542511882),('fact', -0.02647311865592722),('by', -0.025861321335334867),('you', -0.02540610083752034),('that the', -0.02528477463571399),('out', -0.025237824493062024),('geoengineering', -0.024573276352327127),('mind', -0.02427931715166702),('warming', -0.02314280435442173),('story', -0.02257942796746819),('according', -0.02183724520491735),('according to', -0.02180505759465857),('vitamin', -0.021226643848844682),('and the', -0.020611304514103174),('others', -0.019725461754913163),('no', -0.019059180307288256)
bf_cc_va_pg	conspiracy	('can', 0.018649035232633462),('climate change', 0.018945668028879016),('social media', 0.019107862099659402),('emissions', 0.020432141443093126),('she', 0.021414497708567258),('at', 0.021557752874423627),('in the', 0.022566643597024153),('feet', 0.023138931191758562),('may', 0.023169196529267858),('social', 0.024846031813349722),('of the', 0.026257801620613253),('s', 0.02671784202137405),('change', 0.027578240613580128),('but', 0.028065496671051585),('conspiracy', 0.03023434480932052),('two', 0.03039595412959424),('a', 0.03148166573938972),('foot', 0.0370332139844112),('said', 0.03724154325614571),('bigfoot', 0.04681438079895868)
bf_cc_va_pg	mainstream	('this', -0.03509685621987923),('com', -0.03361345391149439),('bill', -0.02827430025136994),('that the', -0.02792633475740223),('is', -0.026387746216840764),('all', -0.025004753064404184),('no', -0.024210801914098818),('order', -0.024073593590463235),('geoengineering', -0.02388284212429559),('us', -0.023776332072490178),('cia', -0.022578708928478144),('government', -0.022110121958403884),('they', -0.02203993149283022),('you', -0.021683030195553177),('that', -0.021526539605565505),('out', -0.020314688923308382),('gates', -0.02029669696975323),('could', -0.020287677766430357),('never', -0.019783834377585116),('according to', -0.019497599259914677)
bf_fe_va_pg	conspiracy	('about', 0.019365666994544707),('on', 0.020263253834529826),('there', 0.020340962278429093),('in the', 0.020509353180166),('percent', 0.02071158938362473),('social', 0.02387560586045708),('know', 0.02454607189145992),('conspiracy', 0.025915574790120213),('science', 0.026637742304461944),('after', 0.026887797891110607),('earth', 0.02707332873733447),('theory', 0.027114820207675475),('at', 0.027459679535152652),('two', 0.029779424074534083),('s', 0.031843396207266464),('a', 0.03228827829972067),('foot', 0.03376594781890417),('bigfoot', 0.04244415464379745),('said', 0.043261612754010706),('flat', 0.044143806382933456)
bf_fe_va_pg	mainstream	('com', -0.040250345169016),('you', -0.03207470764098668),('bill', -0.03012350599191479),('mind', -0.02629783436051536),('all', -0.026001419577952847),('no', -0.025577045104911073),('story', -0.024025917996357355),('him', -0.023936288749132287),('trump', -0.023880068421903933),('years', -0.02329547810652845),('this', -0.022652124674254114),('by', -0.022528330328076027),('is', -0.02164663213092912),('vitamin', -0.02164526378909594),('order', -0.021485015797909977),('even', -0.020875685754976867),('and the', -0.020703273171606824),('video', -0.02052126331239047),('case', -0.02039770124796216),('that', -0.02016757608394399)
bf_fe_cc_pg	conspiracy	('big', 0.02111363619259361),('theory', 0.022630227541104893),('people', 0.022864110736981202),('social', 0.023539208682414155),('there', 0.023676367381313245),('emissions', 0.024541715041594896),('but', 0.02529510591276795),('about', 0.025788004627721586),('in the', 0.026081945642682205),('after', 0.026137400663954733),('said', 0.02627691597900068),('s', 0.026736851139210625),('change', 0.02677860378589847),('conspiracy', 0.026781552786641093),('two', 0.02819273194220888),('earth', 0.028644652387389016),('a', 0.029554028002493366),('foot', 0.035822584702297655),('bigfoot', 0.041800585936958026),('flat', 0.04918469131431361)
bf_fe_cc_pg	mainstream	('this', -0.03499700928622808),('com', -0.034743713672459445),('is', -0.02623110997999197),('mind', -0.024436270620762944),('cia', -0.023607150787264834),('out', -0.023437851435893574),('geoengineering', -0.02291290031992371),('him', -0.022451904027033922),('you', -0.02127342470365795),('no', -0.020593879712394483),('warming', -0.02045570983952916),('they', -0.020288775194726504),('control', -0.020210797489195458),('story', -0.01927417843633509),('article', -0.019257491888940843),('information', -0.018792039118816384),('hollywood', -0.01870425888082642),('made', -0.018653811122186396),('government', -0.018642654282293867),('own', -0.018562839372995917)
bf_fe_cc_va	conspiracy	('there', 0.019631309230092743),('such as', 0.019752999222016593),('flat earth', 0.019976881897498817),('science', 0.02071562641014651),('first', 0.020804869229239346),('emissions', 0.0212987465188419),('may', 0.021523284457321618),('feet', 0.022811206677732104),('in the', 0.02327425021492773),('change', 0.02618252444482194),('a', 0.026363736519914808),('about', 0.02691520593875532),('s', 0.027310278885436075),('two', 0.030041276419028044),('but', 0.03028465247609964),('earth', 0.03434792159737561),('foot', 0.03472932248399049),('said', 0.038427482161965676),('bigfoot', 0.04364891941309759),('flat', 0.05351732622102635)
bf_fe_cc_va	mainstream	('this', -0.038431475467459446),('com', -0.03126015321504029),('order', -0.029946620551690707),('no', -0.02925990119991526),('bill', -0.026649557469739224),('is', -0.0262811717563757),('geoengineering', -0.0259780790448509),('that the', -0.02528994092575585),('fact', -0.024745358283098647),('mind', -0.024350631059964753),('all', -0.023395736830559528),('they', -0.022879553563914735),('made', -0.02134973048310644),('warming', -0.020998971426593533),('could', -0.019145171916454654),('that', -0.01913525956207765),('trump', -0.019115561892462784),('into', -0.019066473393879926),('by', -0.019038565190305907),('you', -0.018760668625913267)
